budget,popularity,runtime,vote_average,genre,revenue
20799,19.92,109,8.7,Action,31033
16545,38.14,105,6.2,Drama,22016
2437,97.79,144,4.6,Action,11384
38088,86.51,159,7.7,Action,61528
40741,74.52,166,9.1,Drama,42862
16081,60.71,105,3.0,Comedy,19237
41690,25.06,156,7.5,Comedy,42437
42172,9.72,140,6.8,Drama,38327
29889,3.34,106,7.6,Action,35347
20340,32.67,113,2.6,Comedy,19841
36350,87.65,106,5.8,Drama,32371
11783,25.7,165,9.5,Drama,13824
49926,87.04,162,2.0,Action,80377
10224,75.42,88,8.7,Horror,8965
37524,36.58,161,4.6,Drama,34579
36164,12.36,107,7.1,Drama,25807
39309,38.1,141,9.5,Action,51612
45226,23.38,63,6.6,Drama,42005
40982,22.14,68,6.7,Horror,27795
46945,30.22,112,2.1,Action,50639
3438,30.44,123,2.0,Comedy,3456
36228,13.57,118,4.3,Horror,25281
39491,74.23,79,9.0,Action,51716
33069,61.57,180,9.6,Action,50163
46238,37.05,116,5.0,Comedy,47137
24768,9.94,147,4.3,Drama,19193
4968,39.81,84,9.7,Horror,8020
7007,66.28,142,6.8,Action,16492
4314,78.68,91,9.9,Comedy,9422
5496,82.98,130,2.9,Comedy,9652
16269,32.86,78,8.1,Action,22535
19171,85.84,78,9.9,Drama,23831
12435,10.99,170,1.2,Action,12979
24477,79.0,90,6.3,Action,35856
12419,26.54,76,7.7,Action,19653
49867,6.36,117,8.0,Action,68424
30622,50.38,138,1.4,Drama,22612
31018,64.33,63,1.5,Horror,20113
27320,42.63,73,5.4,Horror,18301
5816,89.93,101,6.5,Action,14033
9270,27.5,141,6.3,Drama,11708
25962,99.46,127,3.7,Horror,21195
7499,79.31,74,8.7,Comedy,12222
29185,45.16,89,4.7,Horror,22225
27131,41.6,72,3.8,Drama,27887
44588,25.49,79,7.2,Horror,33481
5399,9.12,70,1.8,Action,3785
49797,73.88,163,2.2,Action,61179
39434,95.66,131,4.0,Action,61247
27922,35.36,145,9.5,Horror,20001
48255,5.14,96,6.4,Drama,41380
7789,57.79,87,2.4,Horror,6715
15696,84.73,104,8.6,Drama,16997
8529,76.26,133,3.0,Horror,8005
37763,97.45,164,6.6,Action,37129
40911,92.91,166,7.2,Action,52823
12823,27.33,157,3.8,Drama,11399
24004,0.61,171,2.3,Horror,13089
5560,14.19,141,9.7,Action,13989
49897,53.05,108,4.8,Drama,36550
11315,37.01,152,3.9,Action,15734
4447,15.56,156,6.6,Action,8807
18832,44.31,114,5.4,Horror,16220
28143,27.32,156,5.6,Drama,21274
29174,11.09,146,7.1,Horror,22776
35533,66.71,65,3.0,Action,45815
1503,20.44,87,7.9,Drama,3287
19969,32.81,60,5.5,Horror,14702
12514,12.92,128,7.3,Drama,12430
5723,39.71,154,1.4,Action,7619
31130,92.12,170,3.8,Horror,23934
38578,40.44,141,4.8,Action,48017
27544,2.09,101,2.5,Horror,16990
46194,91.98,71,4.9,Action,66074
16945,43.57,111,5.7,Horror,15103
21334,74.58,88,4.0,Comedy,21320
6005,51.05,74,5.8,Comedy,11060
23896,35.11,164,6.8,Comedy,21741
16484,10.28,92,2.8,Comedy,14916
43959,7.54,158,6.7,Horror,31404
37944,75.99,117,7.1,Drama,36471
42105,31.61,116,1.6,Horror,25375
42378,30.28,95,6.3,Drama,35365
34248,7.42,119,5.1,Action,40085
25165,83.17,69,6.8,Action,35262
41305,59.41,109,5.2,Action,59083
30473,90.9,133,6.9,Drama,31386
40649,47.56,79,9.6,Horror,27614
7783,81.1,167,4.1,Action,17332
34066,64.61,65,3.2,Horror,24188
29797,52.41,138,2.4,Drama,27722
19539,38.74,159,4.0,Action,28315
42345,64.73,68,4.0,Horror,26700
19621,25.2,169,6.9,Comedy,21179
22847,8.15,144,2.3,Drama,19211
21331,96.77,149,7.0,Comedy,29913
39996,70.88,70,3.8,Horror,27735
43171,79.17,164,2.2,Action,57419
43337,67.05,125,4.3,Drama,42880
21241,18.03,87,4.1,Horror,13107
13583,22.65,77,2.4,Drama,11147
7628,50.77,129,8.5,Action,15844
44380,33.68,158,6.6,Horror,30261
11109,16.22,166,7.2,Comedy,15394
48263,43.77,112,4.3,Comedy,52831
30111,61.06,156,7.7,Horror,25219
16335,53.4,99,9.7,Horror,16441
13715,36.78,133,9.9,Horror,12579
19466,77.81,124,5.7,Comedy,25833
14087,80.13,77,8.9,Action,24848
43020,48.06,107,6.0,Action,58056
47622,84.59,168,2.1,Action,61672
11506,27.28,175,5.6,Horror,9466
7010,94.64,88,8.4,Drama,12735
2747,41.49,110,5.5,Comedy,5203
26307,99.45,107,3.0,Drama,30459
7493,83.92,143,4.0,Comedy,11031
10017,3.83,177,8.5,Comedy,11413
47238,46.91,138,1.0,Action,64632
2245,25.59,166,2.3,Horror,2146
8286,77.62,90,3.7,Action,15713
16626,41.98,161,6.6,Action,26959
8265,83.67,123,6.4,Action,17716
42415,51.54,90,7.5,Drama,34371
29130,0.16,105,3.2,Horror,18186
13275,66.44,70,5.7,Drama,13138
5435,95.34,129,5.6,Action,16142
26588,87.33,65,6.7,Drama,25851
17623,74.73,105,8.1,Drama,17922
16802,73.29,140,1.9,Drama,15540
9743,4.43,129,4.0,Comedy,9879
45871,46.46,149,5.3,Comedy,45022
9837,6.31,159,9.5,Action,15316
20231,20.16,161,2.8,Action,25818
21682,93.34,125,4.6,Horror,18164
17601,3.66,142,2.7,Drama,12943
4132,86.58,102,3.5,Drama,6675
29636,88.95,155,5.0,Horror,23580
23219,97.37,123,7.2,Drama,21272
35031,26.67,70,7.5,Action,39193
29220,60.25,165,2.6,Drama,24075
22050,10.26,101,6.9,Drama,18803
30223,60.26,114,2.5,Horror,21596
24038,44.71,153,8.8,Drama,27536
41294,99.82,95,6.8,Action,63478
5917,67.12,111,4.3,Comedy,9387
3040,14.28,137,7.1,Horror,3726
3280,12.62,90,8.0,Drama,4278
24733,38.29,132,1.3,Comedy,24280
45503,44.99,107,4.3,Action,56042
38612,13.77,106,4.6,Drama,32556
17358,96.05,63,7.6,Horror,14470
34930,38.7,131,2.1,Drama,30337
47139,44.63,138,3.6,Horror,36649
14118,12.26,169,1.7,Comedy,13113
47751,44.51,71,8.3,Drama,43569
44767,34.74,68,5.9,Drama,40388
20657,85.14,151,7.4,Comedy,26023
24690,50.88,75,9.9,Comedy,30176
16514,79.04,63,4.2,Drama,16514
31631,80.37,130,2.2,Action,42900
5308,30.93,151,7.5,Horror,5649
27832,82.33,69,2.1,Drama,24783
43096,7.42,119,7.1,Drama,37990
9410,87.8,159,6.0,Comedy,18012
9456,43.26,176,8.8,Action,20529
34954,15.3,81,2.5,Comedy,39943
23676,94.75,126,9.1,Action,36130
17423,19.63,130,3.5,Drama,15841
41267,53.35,124,6.8,Comedy,45117
12219,65.87,152,9.1,Drama,19185
37937,4.12,170,1.3,Action,40681
43038,77.1,93,6.9,Horror,28775
41508,63.9,123,9.0,Drama,36410
43068,95.67,121,3.2,Horror,24351
20492,45.35,148,1.5,Horror,13257
28238,48.43,86,4.1,Comedy,27192
21485,86.15,100,7.6,Drama,23240
27130,13.08,107,5.6,Action,35412
21913,24.17,75,3.4,Comedy,25352
10232,9.68,97,9.5,Horror,9627
17270,96.27,175,2.4,Drama,17131
38859,72.11,84,7.9,Horror,26273
34733,46.68,172,3.8,Action,47749
6901,94.52,124,5.1,Comedy,11079
15099,58.33,66,1.5,Horror,12310
40158,88.23,143,7.1,Drama,42614
36172,0.82,73,4.9,Drama,27409
48677,36.58,111,4.3,Horror,26936
4352,57.03,84,4.3,Drama,6725
5818,38.63,117,7.9,Drama,8211
41844,68.04,75,2.2,Action,59550
26814,37.32,103,6.0,Drama,20129
10454,19.91,125,4.6,Action,13408
3969,3.89,151,4.0,Horror,2785
35034,45.7,137,9.0,Comedy,39523
22493,93.14,100,2.5,Drama,20534
39910,33.64,166,5.6,Horror,29463
47447,56.29,120,8.3,Drama,38161
22708,67.38,113,6.3,Action,33144
40119,47.46,143,8.0,Comedy,44325
48277,5.14,121,2.5,Horror,31912
10684,82.17,91,1.3,Action,17378
13503,1.89,100,4.8,Horror,7737
46252,20.39,124,8.0,Horror,26997
49223,72.74,150,2.2,Comedy,57131
37758,32.5,144,5.3,Horror,26882
21562,95.67,118,9.2,Drama,22586
36800,35.43,158,8.8,Drama,39033
40981,48.42,91,3.5,Drama,34864
15736,94.15,98,7.9,Comedy,25256
46235,70.5,100,5.3,Drama,41038
19860,12.19,146,5.9,Horror,16892
23618,95.46,162,2.3,Action,40622
19850,95.53,70,4.1,Horror,15607
43989,25.64,121,2.9,Drama,39205
37832,69.62,77,2.0,Comedy,41027
16889,5.08,175,5.8,Comedy,20484
4440,10.02,102,7.5,Action,7350
45642,77.08,60,9.7,Comedy,54393
27667,65.29,172,8.9,Horror,24920
43633,19.95,96,3.9,Action,43778
6862,65.23,89,5.8,Action,12089
12473,41.79,167,2.6,Action,13897
27017,78.8,83,9.4,Drama,26938
3455,0.93,132,6.4,Drama,4212
19649,45.43,142,5.9,Horror,17448
9794,85.11,119,3.5,Action,17575
22671,16.25,118,6.8,Comedy,28089
1923,73.66,161,3.7,Comedy,5463
12501,61.1,141,9.1,Horror,10365
34769,32.79,111,7.0,Comedy,36593
10215,47.75,179,3.2,Drama,10954
26137,23.55,156,3.4,Drama,21875
20788,58.25,133,1.1,Drama,14297
46401,23.63,145,2.1,Drama,37069
11467,40.54,124,9.3,Drama,11905
46238,11.74,177,9.5,Drama,43423
41280,22.08,77,5.3,Horror,28320
40697,37.36,149,5.9,Horror,25706
36226,80.2,165,3.0,Comedy,37270
45586,75.47,171,8.1,Horror,30472
35614,70.38,69,9.3,Action,50606
5047,82.88,175,5.5,Comedy,12202
11783,32.81,126,5.0,Comedy,12361
47983,58.31,71,9.1,Horror,36270
4646,45.34,125,4.7,Action,8784
37621,46.24,163,3.8,Action,44938
26948,25.45,60,7.7,Action,35438
3968,42.37,149,1.6,Action,5625
5523,98.61,120,1.3,Horror,5894
12795,76.9,158,6.8,Horror,11028
25540,99.29,108,5.0,Horror,24481
25618,8.02,144,8.9,Comedy,28162
43830,86.03,75,2.6,Horror,28284
35658,12.73,88,8.5,Action,47331
20553,46.3,152,5.9,Horror,15684
16051,24.75,104,2.4,Comedy,15159
48515,76.55,64,8.3,Horror,37387
41299,76.61,173,9.0,Comedy,51248
14505,6.73,136,1.3,Action,14986
17038,74.05,111,5.0,Comedy,19840
4699,14.01,97,3.1,Drama,3481
38845,59.79,146,8.4,Comedy,33556
20776,87.63,144,5.7,Horror,14860
20693,27.52,131,9.5,Comedy,28086
42025,67.88,131,5.5,Drama,43871
43160,67.13,160,5.7,Horror,30372
27755,14.92,108,2.7,Horror,18598
16792,84.93,98,8.7,Comedy,24265
31344,91.47,131,4.7,Horror,31294
37522,53.0,109,3.2,Comedy,42643
22644,64.67,178,5.0,Drama,21944
7059,53.56,166,2.7,Drama,7177
25718,67.37,137,1.4,Action,28470
13331,80.47,135,7.5,Comedy,20066
32417,20.89,176,4.0,Action,37905
14881,93.72,154,2.1,Horror,10829
16898,69.56,150,2.8,Comedy,18516
37181,32.16,96,4.4,Drama,27748
21212,26.16,125,8.9,Horror,19239
7462,80.28,152,5.2,Drama,11647
14312,37.07,112,1.4,Comedy,14057
49578,14.59,93,6.0,Horror,37583
20345,15.24,102,3.1,Comedy,19600
33722,55.06,180,7.2,Drama,28998
33022,96.65,142,7.7,Horror,30532
12025,73.28,105,2.5,Horror,10272
13061,91.69,129,9.9,Action,24029
35337,3.38,168,1.7,Action,40566
1418,41.24,167,6.7,Action,6592
47345,15.1,87,5.6,Drama,33522
